user	instance_id	displayed_text	reporting-is-sensational:::Neutral	reporting-is-sensational:::Slightly sensational	reporting-is-sensational:::Sensational	How satisfied do you feel about your experience participating in our study?:::scale_2	How satisfied do you feel about your experience participating in our study?:::scale_5	How satisfied do you feel about your experience participating in our study?:::scale_4	How satisfied do you feel about your experience participating in our study?:::scale_3	Compared to other studies you've participated in, how do you rate the difficulty of this task?:::scale_2	Compared to other studies you've participated in, how do you rate the difficulty of this task?:::scale_3	Compared to other studies you've participated in, how do you rate the difficulty of this task?:::scale_4	How confident are you that you performed well in the task?:::scale_1	How confident are you that you performed well in the task?:::scale_3	How confident are you that you performed well in the task?:::scale_4	I have read and understood the instructions.:::Yes	I have read and understood the content warning.:::Yes	I want to participate in this research and continue with the study.:::Yes	I carefully went over the examples and the instructions.:::Yes	span_annotation:::Sensational language
roman	Medicine_tweet_37_r	"<span id=""hover_text_news"" data-toggle=""tooltip"" data-html=""true"" data-placement=""bottom"" title=""Context: A healthy diet seems to most benefit people with a genetic predisposition to #obesity
 @username #OA ""><b>Finding:</b></span> A healthy diet seems to most benefit people with a genetic predisposition to #obesity
 @username #OA "	1																	[]
roman	Experience.html	Experience					5				3		1							[]
roman	test_question_testing_Slightly sensational	<b>Reported Finding:</b> New research suggests that upping your vitamin D intake could be a simple solution to alleviate stress. This is a test question, please select Slightly sensational. Do not mark any words or phrases.		2																[]
roman	Medicine_434_p	"<span id=""hover_text_paper"" data-toggle=""tooltip"" data-html=""true"" data-placement=""bottom"" title=""Context: It should be noted that the authors report a skewed study population with regard to low socioeconomic position . They found a J-shaped association between frequency of drinking and IQ test results, where the daily drinkers had the lowest IQ. A higher IQ was associated with being a rare, an occasional, and a moderate drinker, whereas there was a lower IQ for being a former drinker compared with being a lifetime abstainer.""><b>Finding:</b></span> They found a J-shaped association between frequency of drinking and IQ test results, where the daily drinkers had the lowest IQ."		2																[{'start': 702, 'end': 716, 'span': 'daily drinkers', 'annotation': 'Sensational language'}]
roman	Consent.html	Consent														I have read and understood the instructions.:::Yes	I have read and understood the content warning.:::Yes	I want to participate in this research and continue with the study.:::Yes		[]
roman	Medicine_434_r	"<span id=""hover_text_news"" data-toggle=""tooltip"" data-html=""true"" data-placement=""bottom"" title=""Context: ""It could be the other way around for a minority of individuals, that is, when exposure to alcohol has led to cognitive impairment, but this is less likely to be found among young persons of course."" ""We found that lower results on IQ tests in Swedish adolescent men are associated with a higher consumption of alcohol, measured in both terms of total intake and binge drinking,"" said Sjolund. ""It may be that a higher IQ results in healthier lifestyle choices.""><b>Finding:</b></span> ""We found that lower results on IQ tests in Swedish adolescent men are associated with a higher consumption of alcohol, measured in both terms of total intake and binge drinking,"" said Sjolund."	1																	[]
roman	Medicine_tweet_2_p	"<span id=""hover_text_paper"" data-toggle=""tooltip"" data-html=""true"" data-placement=""bottom"" title=""Context: Fourth, as with all observational studies, it was not possible to rule out residual confounding. In this long-term prospective cohort study, diet quality assessed during midlife was not significantly associated with subsequent risk for dementia. The validity and reliability of this version of the FFQ in terms of nutrient and food consumption has been documented in detail both in this cohort and in another independent study in the United Kingdom.""><b>Finding:</b></span> In this long-term prospective cohort study, diet quality assessed during midlife was not significantly associated with subsequent risk for dementia."	1																	[]
roman	Medicine_tweet_2_r	"<span id=""hover_text_news"" data-toggle=""tooltip"" data-html=""true"" data-placement=""bottom"" title=""Context: Is Diet Quality Associated With Later Risk for Dementia?
@username 

While usual limitations of observational studies like this apply, this analysis suggests eating a healthier diet assessed at midlife was not associated w/subsequent risk for #dementia.""><b>Finding:</b></span> Is Diet Quality Associated With Later Risk for Dementia?
@username 

While usual limitations of observational studies like this apply, this analysis suggests eating a healthier diet assessed at midlife was not associated w/subsequent risk for #dementia."	1																	[]
roman	Medicine_tweet_37_p	"<span id=""hover_text_paper"" data-toggle=""tooltip"" data-html=""true"" data-placement=""bottom"" title=""Context: These data indicate that improving adherence to healthy dietary patterns could attenuate the genetic association with weight gain. Moreover, the beneficial effect of improved diet quality on weight management was particularly pronounced in people at high genetic risk for obesity. Weights reported in questionnaires and measured by technicians were highly correlated (r=0.97 in both studies) in a validation subsample.""><b>Finding:</b></span> Moreover, the beneficial effect of improved diet quality on weight management was particularly pronounced in people at high genetic risk for obesity."	1																	[]
roman	Sensationalism Examples.html	Sensationalism Examples																	I carefully went over the examples and the instructions.:::Yes	[]
613d5536aec76d6fd3ae978e	Medicine_434_r	"<span id=""hover_text_news"" data-toggle=""tooltip"" data-html=""true"" data-placement=""bottom"" title=""Context: ""It could be the other way around for a minority of individuals, that is, when exposure to alcohol has led to cognitive impairment, but this is less likely to be found among young persons of course."" ""We found that lower results on IQ tests in Swedish adolescent men are associated with a higher consumption of alcohol, measured in both terms of total intake and binge drinking,"" said Sjolund. ""It may be that a higher IQ results in healthier lifestyle choices.""><b>Finding:</b></span> ""We found that lower results on IQ tests in Swedish adolescent men are associated with a higher consumption of alcohol, measured in both terms of total intake and binge drinking,"" said Sjolund."			3															[{'start': 857, 'end': 876, 'span': 'higher consumption ', 'annotation': 'Sensational language'}]
613d5536aec76d6fd3ae978e	Medicine_tweet_37_r	"<span id=""hover_text_news"" data-toggle=""tooltip"" data-html=""true"" data-placement=""bottom"" title=""Context: A healthy diet seems to most benefit people with a genetic predisposition to #obesity
 @username #OA ""><b>Finding:</b></span> A healthy diet seems to most benefit people with a genetic predisposition to #obesity
 @username #OA "		2																[{'start': 313, 'end': 320, 'span': 'benefit', 'annotation': 'Sensational language'}]
613d5536aec76d6fd3ae978e	Experience.html	Experience							3	2				3						[]
613d5536aec76d6fd3ae978e	test_question_testing_Sensational	<b>Reported Finding:</b> New research suggests that upping your vitamin D intake could be a simple solution to alleviate stress. This is a test question, please select Sensational. Do not mark any words or phrases.			3															[{'start': 139, 'end': 156, 'span': 'alleviate stress.', 'annotation': 'Sensational language'}]
613d5536aec76d6fd3ae978e	Medicine_tweet_2_p	"<span id=""hover_text_paper"" data-toggle=""tooltip"" data-html=""true"" data-placement=""bottom"" title=""Context: Fourth, as with all observational studies, it was not possible to rule out residual confounding. In this long-term prospective cohort study, diet quality assessed during midlife was not significantly associated with subsequent risk for dementia. The validity and reliability of this version of the FFQ in terms of nutrient and food consumption has been documented in detail both in this cohort and in another independent study in the United Kingdom.""><b>Finding:</b></span> In this long-term prospective cohort study, diet quality assessed during midlife was not significantly associated with subsequent risk for dementia."	1																	[{'start': 650, 'end': 674, 'span': 'prospective cohort study', 'annotation': 'Sensational language'}]
613d5536aec76d6fd3ae978e	Medicine_tweet_2_r	"<span id=""hover_text_news"" data-toggle=""tooltip"" data-html=""true"" data-placement=""bottom"" title=""Context: Is Diet Quality Associated With Later Risk for Dementia?
@username 

While usual limitations of observational studies like this apply, this analysis suggests eating a healthier diet assessed at midlife was not associated w/subsequent risk for #dementia.""><b>Finding:</b></span> Is Diet Quality Associated With Later Risk for Dementia?
@username 

While usual limitations of observational studies like this apply, this analysis suggests eating a healthier diet assessed at midlife was not associated w/subsequent risk for #dementia."	1																	[{'start': 581, 'end': 589, 'span': 'analysis', 'annotation': 'Sensational language'}]
613d5536aec76d6fd3ae978e	Sensationalism Examples.html	Sensationalism Examples																	I carefully went over the examples and the instructions.:::Yes	[]
613d5536aec76d6fd3ae978e	Medicine_tweet_37_p	"<span id=""hover_text_paper"" data-toggle=""tooltip"" data-html=""true"" data-placement=""bottom"" title=""Context: These data indicate that improving adherence to healthy dietary patterns could attenuate the genetic association with weight gain. Moreover, the beneficial effect of improved diet quality on weight management was particularly pronounced in people at high genetic risk for obesity. Weights reported in questionnaires and measured by technicians were highly correlated (r=0.97 in both studies) in a validation subsample.""><b>Finding:</b></span> Moreover, the beneficial effect of improved diet quality on weight management was particularly pronounced in people at high genetic risk for obesity."			3															[{'start': 601, 'end': 609, 'span': 'Moreover', 'annotation': 'Sensational language'}]
613d5536aec76d6fd3ae978e	test_question_testing_Slightly sensational	<b>Reported Finding:</b> New research suggests that upping your vitamin D intake could be a simple solution to alleviate stress. This is a test question, please select Slightly sensational. Do not mark any words or phrases.		2																[]
613d5536aec76d6fd3ae978e	Medicine_434_p	"<span id=""hover_text_paper"" data-toggle=""tooltip"" data-html=""true"" data-placement=""bottom"" title=""Context: It should be noted that the authors report a skewed study population with regard to low socioeconomic position . They found a J-shaped association between frequency of drinking and IQ test results, where the daily drinkers had the lowest IQ. A higher IQ was associated with being a rare, an occasional, and a moderate drinker, whereas there was a lower IQ for being a former drinker compared with being a lifetime abstainer.""><b>Finding:</b></span> They found a J-shaped association between frequency of drinking and IQ test results, where the daily drinkers had the lowest IQ."			3															[{'start': 620, 'end': 640, 'span': 'J-shaped association', 'annotation': 'Sensational language'}]
613d5536aec76d6fd3ae978e	Consent.html	Consent														I have read and understood the instructions.:::Yes	I have read and understood the content warning.:::Yes	I want to participate in this research and continue with the study.:::Yes		[]
6023fe0496b493000b2fb657	Medicine_434_r	"<span id=""hover_text_news"" data-toggle=""tooltip"" data-html=""true"" data-placement=""bottom"" title=""Context: ""It could be the other way around for a minority of individuals, that is, when exposure to alcohol has led to cognitive impairment, but this is less likely to be found among young persons of course."" ""We found that lower results on IQ tests in Swedish adolescent men are associated with a higher consumption of alcohol, measured in both terms of total intake and binge drinking,"" said Sjolund. ""It may be that a higher IQ results in healthier lifestyle choices.""><b>Finding:</b></span> ""We found that lower results on IQ tests in Swedish adolescent men are associated with a higher consumption of alcohol, measured in both terms of total intake and binge drinking,"" said Sjolund."	1																	"[{'start': 856, 'end': 886, 'span': ' higher consumption of alcohol', 'annotation': 'Sensational language'}, {'start': 912, 'end': 1060, 'span': 'f total intake and <span class=""span_container"" selection_label=""Sensational language"" style=""background-color:rgb(86,180,233, 0.25);"">binge drinkin', 'annotation': 'Sensational language'}]"
6023fe0496b493000b2fb657	Medicine_tweet_37_r	"<span id=""hover_text_news"" data-toggle=""tooltip"" data-html=""true"" data-placement=""bottom"" title=""Context: A healthy diet seems to most benefit people with a genetic predisposition to #obesity
 @username #OA ""><b>Finding:</b></span> A healthy diet seems to most benefit people with a genetic predisposition to #obesity
 @username #OA "		2																"[{'start': 285, 'end': 299, 'span': ' healthy diet ', 'annotation': 'Sensational language'}, {'start': 334, 'end': 472, 'span': ' g<span class=""span_container"" selection_label=""Sensational language"" style=""background-color:rgb(86,180,233, 0.25);"">enetic predispositio', 'annotation': 'Sensational language'}]"
6023fe0496b493000b2fb657	Experience.html	Experience				2				2					4					[]
6023fe0496b493000b2fb657	test_question_testing_Sensational	<b>Reported Finding:</b> New research suggests that upping your vitamin D intake could be a simple solution to alleviate stress. This is a test question, please select Sensational. Do not mark any words or phrases.			3															[]
6023fe0496b493000b2fb657	Medicine_tweet_2_p	"<span id=""hover_text_paper"" data-toggle=""tooltip"" data-html=""true"" data-placement=""bottom"" title=""Context: Fourth, as with all observational studies, it was not possible to rule out residual confounding. In this long-term prospective cohort study, diet quality assessed during midlife was not significantly associated with subsequent risk for dementia. The validity and reliability of this version of the FFQ in terms of nutrient and food consumption has been documented in detail both in this cohort and in another independent study in the United Kingdom.""><b>Finding:</b></span> In this long-term prospective cohort study, diet quality assessed during midlife was not significantly associated with subsequent risk for dementia."	1																	[{'start': 662, 'end': 674, 'span': 'cohort study', 'annotation': 'Sensational language'}, {'start': 677, 'end': 687, 'span': 'iet qualit', 'annotation': 'Sensational language'}, {'start': 740, 'end': 778, 'span': 'iated with subsequent risk for dementi', 'annotation': 'Sensational language'}]
6023fe0496b493000b2fb657	Medicine_tweet_2_r	"<span id=""hover_text_news"" data-toggle=""tooltip"" data-html=""true"" data-placement=""bottom"" title=""Context: Is Diet Quality Associated With Later Risk for Dementia?
@username 

While usual limitations of observational studies like this apply, this analysis suggests eating a healthier diet assessed at midlife was not associated w/subsequent risk for #dementia.""><b>Finding:</b></span> Is Diet Quality Associated With Later Risk for Dementia?
@username 

While usual limitations of observational studies like this apply, this analysis suggests eating a healthier diet assessed at midlife was not associated w/subsequent risk for #dementia."			3															"[{'start': 442, 'end': 493, 'span': 'iet Quality Associated With Later Risk for Dementia', 'annotation': 'Sensational language'}, {'start': 613, 'end': 769, 'span': 'h<span class=""span_container"" selection_label=""Sensational language"" style=""background-color:rgb(86,180,233, 0.25);"">ier diet assessed at midlife was not as', 'annotation': 'Sensational language'}]"
6023fe0496b493000b2fb657	Sensationalism Examples.html	Sensationalism Examples																	I carefully went over the examples and the instructions.:::Yes	[]
6023fe0496b493000b2fb657	Medicine_tweet_37_p	"<span id=""hover_text_paper"" data-toggle=""tooltip"" data-html=""true"" data-placement=""bottom"" title=""Context: These data indicate that improving adherence to healthy dietary patterns could attenuate the genetic association with weight gain. Moreover, the beneficial effect of improved diet quality on weight management was particularly pronounced in people at high genetic risk for obesity. Weights reported in questionnaires and measured by technicians were highly correlated (r=0.97 in both studies) in a validation subsample.""><b>Finding:</b></span> Moreover, the beneficial effect of improved diet quality on weight management was particularly pronounced in people at high genetic risk for obesity."		2																[{'start': 668, 'end': 698, 'span': 'management was particularly pr', 'annotation': 'Sensational language'}, {'start': 720, 'end': 734, 'span': 'high genetic r', 'annotation': 'Sensational language'}]
6023fe0496b493000b2fb657	test_question_testing_Slightly sensational	<b>Reported Finding:</b> New research suggests that upping your vitamin D intake could be a simple solution to alleviate stress. This is a test question, please select Slightly sensational. Do not mark any words or phrases.		2																[]
6023fe0496b493000b2fb657	Medicine_434_p	"<span id=""hover_text_paper"" data-toggle=""tooltip"" data-html=""true"" data-placement=""bottom"" title=""Context: It should be noted that the authors report a skewed study population with regard to low socioeconomic position . They found a J-shaped association between frequency of drinking and IQ test results, where the daily drinkers had the lowest IQ. A higher IQ was associated with being a rare, an occasional, and a moderate drinker, whereas there was a lower IQ for being a former drinker compared with being a lifetime abstainer.""><b>Finding:</b></span> They found a J-shaped association between frequency of drinking and IQ test results, where the daily drinkers had the lowest IQ."	1																	[{'start': 651, 'end': 678, 'span': 'equency of drinking and IQ ', 'annotation': 'Sensational language'}, {'start': 725, 'end': 735, 'span': 'lowest IQ.', 'annotation': 'Sensational language'}]
6023fe0496b493000b2fb657	Consent.html	Consent														I have read and understood the instructions.:::Yes	I have read and understood the content warning.:::Yes	I want to participate in this research and continue with the study.:::Yes		[]
5fbab1a17fe54faddf522d85	Sensationalism Examples.html	Sensationalism Examples																	I carefully went over the examples and the instructions.:::Yes	[]
5fbab1a17fe54faddf522d85	Consent.html	Consent														I have read and understood the instructions.:::Yes	I have read and understood the content warning.:::Yes	I want to participate in this research and continue with the study.:::Yes		[]
60cb3a3e82065e2f9dcdd8e7	Medicine_434_r	"<span id=""hover_text_news"" data-toggle=""tooltip"" data-html=""true"" data-placement=""bottom"" title=""Context: ""It could be the other way around for a minority of individuals, that is, when exposure to alcohol has led to cognitive impairment, but this is less likely to be found among young persons of course."" ""We found that lower results on IQ tests in Swedish adolescent men are associated with a higher consumption of alcohol, measured in both terms of total intake and binge drinking,"" said Sjolund. ""It may be that a higher IQ results in healthier lifestyle choices.""><b>Finding:</b></span> ""We found that lower results on IQ tests in Swedish adolescent men are associated with a higher consumption of alcohol, measured in both terms of total intake and binge drinking,"" said Sjolund."		2																[{'start': 900, 'end': 945, 'span': 'both terms of total intake and binge drinking', 'annotation': 'Sensational language'}]
60cb3a3e82065e2f9dcdd8e7	Medicine_tweet_37_r	"<span id=""hover_text_news"" data-toggle=""tooltip"" data-html=""true"" data-placement=""bottom"" title=""Context: A healthy diet seems to most benefit people with a genetic predisposition to #obesity
 @username #OA ""><b>Finding:</b></span> A healthy diet seems to most benefit people with a genetic predisposition to #obesity
 @username #OA "	1																	[]
60cb3a3e82065e2f9dcdd8e7	Experience.html	Experience						4				4	1							[]
60cb3a3e82065e2f9dcdd8e7	test_question_testing_Sensational	<b>Reported Finding:</b> New research suggests that upping your vitamin D intake could be a simple solution to alleviate stress. This is a test question, please select Sensational. Do not mark any words or phrases.			3															[]
60cb3a3e82065e2f9dcdd8e7	Medicine_tweet_2_p	"<span id=""hover_text_paper"" data-toggle=""tooltip"" data-html=""true"" data-placement=""bottom"" title=""Context: Fourth, as with all observational studies, it was not possible to rule out residual confounding. In this long-term prospective cohort study, diet quality assessed during midlife was not significantly associated with subsequent risk for dementia. The validity and reliability of this version of the FFQ in terms of nutrient and food consumption has been documented in detail both in this cohort and in another independent study in the United Kingdom.""><b>Finding:</b></span> In this long-term prospective cohort study, diet quality assessed during midlife was not significantly associated with subsequent risk for dementia."	1																	[]
60cb3a3e82065e2f9dcdd8e7	test_question_testing_Neutral	<b>Reported Finding:</b> New research suggests that upping your vitamin D intake could be a simple solution to alleviate stress. This is a test question, please select Neutral. Do not mark any words or phrases.	1																	[]
60cb3a3e82065e2f9dcdd8e7	Medicine_tweet_2_r	"<span id=""hover_text_news"" data-toggle=""tooltip"" data-html=""true"" data-placement=""bottom"" title=""Context: Is Diet Quality Associated With Later Risk for Dementia?
@username 

While usual limitations of observational studies like this apply, this analysis suggests eating a healthier diet assessed at midlife was not associated w/subsequent risk for #dementia.""><b>Finding:</b></span> Is Diet Quality Associated With Later Risk for Dementia?
@username 

While usual limitations of observational studies like this apply, this analysis suggests eating a healthier diet assessed at midlife was not associated w/subsequent risk for #dementia."		2																[{'start': 438, 'end': 494, 'span': 'Is Diet Quality Associated With Later Risk for Dementia?', 'annotation': 'Sensational language'}]
60cb3a3e82065e2f9dcdd8e7	Sensationalism Examples.html	Sensationalism Examples																	I carefully went over the examples and the instructions.:::Yes	[]
60cb3a3e82065e2f9dcdd8e7	Medicine_tweet_37_p	"<span id=""hover_text_paper"" data-toggle=""tooltip"" data-html=""true"" data-placement=""bottom"" title=""Context: These data indicate that improving adherence to healthy dietary patterns could attenuate the genetic association with weight gain. Moreover, the beneficial effect of improved diet quality on weight management was particularly pronounced in people at high genetic risk for obesity. Weights reported in questionnaires and measured by technicians were highly correlated (r=0.97 in both studies) in a validation subsample.""><b>Finding:</b></span> Moreover, the beneficial effect of improved diet quality on weight management was particularly pronounced in people at high genetic risk for obesity."		2																[{'start': 683, 'end': 750, 'span': 'particularly pronounced in people at high genetic risk for obesity.', 'annotation': 'Sensational language'}]
60cb3a3e82065e2f9dcdd8e7	Medicine_434_p	"<span id=""hover_text_paper"" data-toggle=""tooltip"" data-html=""true"" data-placement=""bottom"" title=""Context: It should be noted that the authors report a skewed study population with regard to low socioeconomic position . They found a J-shaped association between frequency of drinking and IQ test results, where the daily drinkers had the lowest IQ. A higher IQ was associated with being a rare, an occasional, and a moderate drinker, whereas there was a lower IQ for being a former drinker compared with being a lifetime abstainer.""><b>Finding:</b></span> They found a J-shaped association between frequency of drinking and IQ test results, where the daily drinkers had the lowest IQ."	1																	[]
60cb3a3e82065e2f9dcdd8e7	Consent.html	Consent														I have read and understood the instructions.:::Yes	I have read and understood the content warning.:::Yes	I want to participate in this research and continue with the study.:::Yes		[]
